ID,n,FM,EPG,EPC,V,L3obs,LPG,L3exp,Dev,Day,Group
ICILIFAIRYBOULETTE,1,58.8,2300,1.35E+05,29,6.32E+04,2.18E+03,1.35E+05,46.75,d-7,Sainfoin
IDOMISSYOUBOULETTE,2,67.9,500,3.40E+04,36,1.87E+04,5.20E+02,3.40E+04,55.14,d-7,Sainfoin
IEGADELAVEGABOULE,3,37.1,100,3.71E+03,28,2.80E+03,1.00E+02,3.71E+03,75.47,d-7,Control
IENABOULETTE,4,101,3950,3.99E+05,46,1.29E+05,2.80E+03,3.99E+05,32.28,d-7,Sainfoin
ILANDER,5,47.9,450,2.16E+04,45,8.10E+03,1.80E+02,2.16E+04,37.58,d-7,Control
ILIVALABOULETTE,6,60.7,1700,1.03E+05,30,7.68E+04,2.56E+03,1.03E+05,74.43,d-7,Sainfoin
ILSOURIBOUL,7,68.4,1250,8.55E+04,47,3.00E+04,6.38E+02,8.55E+04,35.09,d-7,Control
IMBALABOUL,8,72.6,3350,2.43E+05,75,1.43E+05,1.90E+03,2.43E+05,58.59,d-7,Sainfoin
IMEETHAPPYBOULETTE,9,49.2,3750,1.85E+05,61,8.42E+04,1.38E+03,1.85E+05,45.63,d-7,Sainfoin
INEBOULETTE,10,82.4,550,4.53E+04,44,2.73E+04,6.20E+02,4.53E+04,60.19,d-7,Sainfoin
INECHAIBOUL,11,34.2,1100,3.76E+04,31,1.49E+04,4.80E+02,3.76E+04,39.55,d-7,Sainfoin
IPFLAPBOULETTE,12,74.2,1700,1.26E+05,33,1.78E+04,5.40E+02,1.26E+05,14.13,d-7,Control
IPLATBOULETTE,13,18.7,4400,8.23E+04,23,4.14E+03,1.80E+02,8.23E+04,5.03,d-7,Control
IQUISSYOUBIBOULETTE,14,57.8,4350,2.51E+05,46,1.75E+04,3.80E+02,2.51E+05,6.95,d-7,Control
IRITABELLA,15,75.8,4950,3.75E+05,36,1.60E+05,4.44E+03,3.75E+05,42.64,d-7,Sainfoin
ISCASHEBOUL,16,14.9,3250,4.84E+04,31,1.26E+04,4.06E+02,4.84E+04,26.02,d-7,Control
ISPIRITUSANTU,17,42.7,2900,1.24E+05,50,4.50E+04,9.00E+02,1.24E+05,36.34,d-7,Control
ITARKIBOULETTE,19,72.8,4450,3.24E+05,53,1.04E+05,1.96E+03,3.24E+05,32.04,d-7,Control
